Client ID,Client Name,Executive Name,Sales Team,Gross Sales,Discount,Net Sales,Net Return,Actual Sales,Collection,PID,Product
7441,Claire Gute,Stephen Carr,Team A,2518224,931742.88,1586481.12,0,1586481.12,0,10,Furniture
7034,Darrin Van Huff,Brigitte Helm,Team C,254552,71274.56,183277.44,0,183277.44,0,10,Furniture
7471,Sean O'Donnell,Anita Page,Team M,131320,36769.6,94550.4,0,94550.4,0,10,Furniture
3054,Brosina Hoffman,Ginger Rogers,Team C,0,0,0,0,0,86800,10,Furniture
5509,Andrew Allen,Paulette Goddard,Team C,0,0,0,0,0,138181,10,Furniture
6103,Irene Maddox,Adriana Caselotti,Team B,0,0,0,0,0,82398,10,Furniture
6992,Harold Pawlan,Paulette Goddard,Team N,0,0,0,0,0,371720,10,Furniture
7494,Pete Kriz,Hattie McDaniel,Team K,0,0,0,0,0,60443,10,Furniture
2992,Alejandro Grove,Ginger Rogers,Team B,0,0,0,0,0,97000,10,Furniture
5298,Zuschuss Donatelli,Margaret Hamilton,Team N,0,0,0,0,0,88071,15,Office Supplies
6102,Ken Black,Leopold Stokowski,Team G,0,0,0,0,0,5230,15,Office Supplies
6892,Sandra Flanagan,Mel Blanc,Team B,0,0,0,0,0,31750,15,Office Supplies
7366,Emily Burns,Joseph Cotten,Team L,0,0,0,0,0,205050,15,Office Supplies
7489,Eric Hoffmann,Brigitte Helm,Team L,0,0,0,0,0,10850,15,Office Supplies
2382,Tracy Blumstein,Myrna Loy,Team F,0,0,0,0,0,72797,15,Office Supplies
5102,Matt Abelman,Adriana Caselotti,Team J,0,0,0,0,0,26413,15,Office Supplies
6071,Gene Hale,Rita Hayworth,Team D,0,0,0,0,0,430000,15,Office Supplies
6812,Steve Nguyen,Gladys Cooper,Team P,0,0,0,0,0,10957,15,Office Supplies
7217,Linda Cazamias,Mel Blanc,Team C,0,0,0,0,0,87283,15,Office Supplies
7488,Ruben Ausman,Gladys Cooper,Team E,0,0,0,0,0,69706,15,Office Supplies
7519,Erin Smith,Joseph Cotten,Team M,0,0,0,0,0,250000,15,Office Supplies
2290,Odella Nelson,Myrna Loy,Team H,0,0,0,0,0,369782,15,Office Supplies
3499,Patrick O'Donnell,Keenan Wynn,Team E,0,0,0,0,0,2000000,15,Office Supplies
5917,Lena Hernandez,Joseph Cotten,Team G,0,0,0,0,0,1797111,15,Office Supplies
6627,Darren Powers,Gloria Grahame,Team E,0,0,0,0,0,93244,15,Office Supplies
7497,Janet Molinari,Kenneth Tobey,Team H,0,0,0,0,0,48672,15,Office Supplies
7008,Ted Butterfield,Richard Burton,Team A,1023125,276243.75,746881.25,0,746881.25,0,15,Office Supplies
5974,Kunst Miller,Richard Burton,Team D,768185.6,253501.25,514684.35,0,514684.35,0,15,Office Supplies
5371,Paul Stevenson,Richard Burton,Team L,547096,175070.72,372025.28,0,372025.28,282500,15,Office Supplies
5794,Brendan Sweed,Marlon Brando,Team P,362947.11,98457.97,264489.14,0,264489.14,0,15,Office Supplies
7448,Karen Daniels,Richard Burton,Team K,333438.3,100031.49,233406.81,0,233406.81,0,15,Office Supplies
6512,Henry MacAllister,Richard Burton,Team B,303860,79003.6,224856.4,0,224856.4,0,15,Office Supplies
7324,Joel Eaton,Richard Burton,Team M,206005,51501.25,154503.75,0,154503.75,0,15,Office Supplies
4716,Ken Brennan,Marlon Brando,Team K,184508.5,55183.81,129324.7,0,129324.7,0,15,Office Supplies
4407,Stewart Carmichael,Richard Burton,Team E,147057,33823.11,113233.89,0,113233.89,0,10,Furniture
6633,Duane Noonan,Marlon Brando,Team D,127520.8,35513.83,92006.97,0,92006.97,0,10,Furniture
7270,Julie Creighton,Takashi Shimura,Team C,113558,24982.76,88575.24,0,88575.24,0,10,Furniture
6079,Christopher Schild,Richard Burton,Team M,126224,40391.68,85832.32,0,85832.32,0,10,Furniture
7283,Paul Gonzalez,Marlon Brando,Team N,114123.72,35453.39,78670.33,0,78670.33,0,10,Furniture
7144,Gary Mitchum,Richard Burton,Team H,111233.76,33370.13,77863.63,0,77863.63,0,10,Furniture
6784,Jim Sink,Marlon Brando,Team P,100094.52,27285.95,72808.57,0,72808.57,0,10,Furniture
7472,Karl Braun,Marlon Brando,Team C,59362,13059.64,46302.36,0,46302.36,0,10,Furniture
4499,Roger Barcio,Marlon Brando,Team H,36486,10216.08,26269.92,0,26269.92,0,10,Furniture
6862,Parhena Norris,Takashi Shimura,Team K,27974,6993.5,20980.5,0,20980.5,0,10,Furniture
4142,Katherine Ducich,William Holden,Team G,0,0,0,0,0,14500,10,Furniture
7209,Elpida Rittenbach,Nehemiah Persoff,Team P,0,0,0,0,0,99800,15,Office Supplies
6549,Rick Bensley,Joseph Cotten,Team A,705343,197496.04,507846.96,0,507846.96,0,10,Furniture
6639,Gary Zandusky,Janet Leigh,Team C,421728,101214.72,320513.28,0,320513.28,0,10,Furniture
7476,Lena Cacioppo,Rita Moreno,Team M,252868,63217,189651,0,189651,0,10,Furniture
5102,Matt Abelman,Adriana Caselotti,Team F,233244,46648.8,186595.2,0,186595.2,0,10,Furniture
7377,Janet Martin,Ursula Andress,Team A,261606,94751.97,166854.03,0,166854.03,0,10,Furniture
7383,Pete Armstrong,Joseph Cotten,Team P,168992.7,45847.72,123144.98,0,123144.98,0,10,Furniture
6767,Cynthia Voltz,Joseph Cotten,Team E,101748,28489.44,73258.56,0,73258.56,0,10,Furniture
3043,Clay Ludtke,Christopher Lambert,Team D,113034,40692.24,72341.76,0,72341.76,72400,10,Furniture
5055,Ryan Crowe,Lea Thompson,Team K,121839.57,51172.62,70666.95,0,70666.95,0,10,Furniture
2025,Dave Kipp,Louise Fletcher,Team P,64518,16774.68,47743.32,0,47743.32,0,10,Furniture
7343,Greg Guthrie,Rita Hayworth,Team N,15446,4170.42,11275.58,0,11275.58,0,10,Furniture
3917,Steven Cartwright,Tony Goldwyn,Team N,5807,1161.4,4645.6,0,4645.6,0,10,Furniture
4460,Alan Dominguez,Tony Goldwyn,Team E,0,0,0,0,0,145000,10,Furniture
5071,Philip Fox,Brian Dennehy,Team H,0,0,0,0,0,25500,10,Furniture
6409,Troy Staebel,Keenan Wynn,Team N,0,0,0,0,0,41364,10,Furniture
6738,Lindsay Shagiari,Joseph Cotten,Team B,0,0,0,0,0,992690,10,Furniture
7113,Dorothy Wardle,Bill Murray,Team F,0,0,0,0,0,7043,10,Furniture
7502,Lena Creighton,Hattie McDaniel,Team P,0,0,0,0,0,868980,10,Furniture
7509,Jonathan Doherty,Hattie McDaniel,Team C,0,0,0,0,0,49884,10,Furniture
7557,Sally Hughsby,Nicolas Cage,Team J,0,0,0,0,0,35310,10,Furniture
3077,Sandra Glassco,Gloria Grahame,Team J,0,0,0,0,0,253542,10,Furniture
4347,Helen Andreada,Johnny Depp,Team C,0,0,0,0,0,67812,10,Furniture
6255,Maureen Gastineau,Keanu Reeves,Team I,0,0,0,0,0,242000,10,Furniture
6951,Justin Ellison,Rita Hayworth,Team C,0,0,0,0,0,1238310,10,Furniture
7327,Tamara Willingham,Victor Wong,Team E,0,0,0,0,0,147900,10,Furniture
7508,Stephanie Phelps,S. Epatha Merkerson,Team C,0,0,0,0,0,29242,15,Office Supplies
7513,Neil Knudson,Brigitte Helm,Team C,0,0,0,0,0,413215,15,Office Supplies
